9956,9.64,48414
-3.68,-1.16,9.81,11932
-3.15,-0.48,9.79,11957
-3.94,0.28,9.52,11981
-4.15,0.07,8.27,12005
-3.52,-0.87,10.01,12032
-3.48,-0.41,10.78,12057
-4.23,0.52,7.14,12081
-4.47,-0.04,8.48,12106
-4.32,-1.28,11.19,12132
-4.10,-2.07,9.25,12156
-3.68,-1.59,9.55,12182
-4.16,1.73,8.97,12206
-4.00,-2.27,7.71,12231
-3.62,0.27,8.90,12255
-3.85,-2.17,9.72,12279
-4.67,-1.50,7.70,12305
-3.83,0.91,8.12,12328
-3.91,-0.17,9.60,12353
-4.13,-0.18,9.66,12379
-4.16,-1.37,9.68,12403
-4.54,-0.42,9.43,12429
-4.60,-0.29,9.00,12453
-4.70,-0.47,9.19,12478
-4.67,-0.02,9.72,12504
-4.87,-1.22,8.84,12528
-4.30,-0.10,9.19,12553
-5.28,-0.86,9.64,12578
-3.97,-0.86,8.61,12603
-4.72,0.90,8.79,12627
-4.13,-0.65,7.98,12652
-4.07,1.52,9.30,12676
-4.68,-0.69,9.63,12701
-3.50,-0.39,9.07,12726
-3.94,-0.10,9.96,12750
-3.71,0.14,9.26,12775
-3.82,0.22,8.99,12798
-3.89,-0.19,8.81,12823
-3.97,-1.02,8.81,12849
-3.92,1.01,9.17,12872
-3.78,-0.73,9.02,12898
-3.97,-0.81,9.11,12922
-4.14,-0.09,10.11,12948
-3.83,-0.89,9.79,12974
-3.48,-0.02,9.17,12998
-3.92,-1.39,10.10,13024
-3.15,0.58,9.61,13048
-3.05,-0.22,9.96,13073
-3.48,-0.13,9.07,13099
-3.56,0.56,8.53,13122
-2.81,0.13,8.76,13146
-3.52,-0.05,9.83,13171
-3.48,0.41,9.39,13195
-3.44,-0.08,8.93,13219
-3.80,-0.24,9.33,13245
-3.50,0.46,9.59,13268
-3.93,-0.24,9.64,13294
-3.75,-0.29,9.75,13319
-3.48,0.47,9.68,13342
-4.06,-0.71,9.48,13368
-3.88,-0.02,8.98,13392
-4.09,-0.77,8.93,13417
-3.56,-0.82,8.66,13443
-3.84,0.43,8.51,13466
-3.19,0.07,8.95,13490
-3.54,0.09,8.44,13514
-3.60,0.32,9.06,13538
-3.16,-0.36,8.45,13563
-3.04,0.15,9.11,13587
-3.14,0.23,9.38,13611
-3.23,-0.16,8.69,13636
-3.91,-0.42,8.95,13661
-3.22,-0.58,8.83,13685
-3.44,-0.81,9.13,13711
-3.63,0.00,8.38,13734
-2.95,-0.22,8.82,13760
-2.87,-0.57,9.00,13785
-2.27,-0.07,8.30,13809
-3.35,-0.85,9.48,13835
-2.63,0.95,9.42,13858
-3.38,1.27,9.98,13882
-4.70,-0.08,10.34,13908
-3.63,-2.32,9.30,13933
-3.24,-1.38,10.04,13960
-2.24,-2.70,9.06,13984
-2.64,0.63,9.31,14008
-3.88,0.69,10.19,14033
-3.27,-2.42,11.55,14059
-2.51,0.57,10.45,14084
-2.65,0.30,8.56,14108
-2.34,-2.71,10.49,14134
-2.04,1.81,10.81,14159
-3.13,-2.79,9.02,14184
-2.16,1.65,9.44,14208
-1.47,-3.50,10.51,14234
-2.02,-0.34,10.52,14260
-0.26,0.38,9.78,14283
-1.63,-1.73,9.76,14309
-1.68,-0.39,8.87,14333
-1.98,-0.75,10.00,14360
-2.37,-0.05,9.42,14385
-1.83,0.90,9.11,14408
-1.57,-0.30,9.88,14434
-1.85,-0.27,9.90,14458
-1.09,-1.20,9.11,14483
-0.86,-0.10,9.86,14509
-1.54,-0.15,9.46,14533
-1.74,-0.37,9.02,14559
-1.59,-0.47,9.68,14583
-1.47,-0.04,9.73,14608
-1.77,-0.45,10.09,14635
-1.94,-1.34,8.91,14659
-1.67,-0.65,9.81,14684
-1.55,-0.44,9.79,14709
-2.24,0.03,8.94,14733
-1.76,-1.48,10.28,14759
-1.27,-2.02,11.44,14785
-2.39,-0.70,9.15,14810
-1.88,-0.59,11.27,14836
-1.24,-0.34,10.96,14862
-2.51,-0.79,9.82,14886
-1.16,0.28,10.27,14912
-1.33,0.55,9.53,14936
-1.71,-0.22,9.63,14961
-1.62,0.83,8.45,14985
-1.94,0.98,9.15,15008
-1.59,-0.16,8.37,15034
-0.20,-0.59,9.76,15058
-4.80,-2.66,10.92,15084
-1.01,-0.48,10.12,15111
-1.72,1.01,10.52,15135
-1.53,1.54,9.25,15160
-1.67,-1.87,8.42,15184
-2.01,-0.22,9.61,15209
-1.11,-0.40,9.20,15235
-1.06,-0.22,9.35,15259
-1.90,0.26,9.30,15283
-1.11,-0.09,8.42,15308
-1.38,-0.43,9.76,15333
-1.58,0.54,9.21,15357
-1.35,-0.24,10.23,15383
-1.73,0.05,9.83,15407
-1.41,-0.57,9.42,15432
-1.68,0.27,10.19,15457
-2.43,-0.71,9.09,15481
-1.53,-0.30,9.64,15507
-1.67,-0.47,10.40,15533
-2.07,-0.92,9.90,15558
-2.03,-1.00,9.70,15583
-0.64,1.47,9.56,15606
-3.03,1.11,10.93,15632
-2.02,-0.74,9.85,15656
-2.25,-1.01,11.15,15682
-2.37,-0.22,9.92,15708
-1.56,0.64,9.00,15731
-2.31,-0.42,9.22,15757
-1.74,0.13,8.80,15780
-1.67,-1.00,8.78,15805
-2.24,-0.64,9.15,15831
-1.86,-0.76,8.91,15855
-1.72,-0.66,9.45,15880
-1.54,-0.38,9.36,15905
-1.62,-0.49,10.14,15931
-1.84,-1.20,9.68,15956
-1.20,-0.73,9.55,15981
-1.55,-0.14,9.78,16006
-1.96,-0.53,10.07,16032
-1.82,-0.15,9.18,16057
-1.52,-0.60,8.68,16081
-0.79,-1.29,9.37,16107
-1.95,0.73,10.31,16132
-1.63,-0.77,10.26,16158
-1.85,-0.10,9.78,16183
-1.29,-0.84,10.02,16208
-2.60,-1.63,10.29,16235
-1.76,0.11,10.36,16260
-2.09,-0.48,9.85,16284
-1.84,-1.00,9.49,16310
-2.01,-0.33,10.30,16335
-1.94,-0.13,9.84,16361
-1.80,0.33,9.83,16385
-1.57,0.03,9.61,16408
-1.46,-0.05,7.94,16434
-0.85,0.91,9.22,16457
-2.26,0.17,10.50,16482
-1.17,-0.92,8.88,16507
-1.73,0.27,8.88,16531
-1.88,-0.36,8.97,16557
-2.09,0.13,10.66,16581
-1.05,0.20,10.02,16606
-1.66,-0.59,9.04,16631
-1.14,-0.37,9.83,16656
-1.04,-0.34,9.77,16680
-1.08,-0.19,9.72,16706
-1.52,-0.88,9.86,16731
-0.95,-0.74,10.10,16757
-1.84,-1.19,10.05,16783
-1.09,0.07,9.64,16806
-1.11,-0.55,9.45,16832
-1.69,-0.50,9.83,16857
-0.80,-1.16,9.45,16881
-0.79,-0.61,10.88,16908
-0.81,0.57,10.41,16932
0.25,-0.87,10.04,16958
-1.09,-0.74,11.21,16984
-0.51,-0.43,11.28,17009
0.68,0.09,11.21,17034
2.11,-1.73,10.75,17058
0.61,-1.25,10.84,17083
0.18,-0.87,10.41,17108
5.03,-0.93,9.35,17132
2.15,0.56,9.47,17156
0.97,0.03,8.34,17178
1.13,-0.65,8.22,17202
1.69,0.73,7.66,17225
1.64,0.56,8.82,17248
1.19,-0.63,8.93,17271
1.42,-0.13,8.80,17296
1.23,-0.26,9.46,17319
1.29,-0.73,9.45,17343
1.21,-1.25,10.18,17369
0.77,-0.79,10.47,17393
1.44,-0.79,10.41,17419
0.94,-0.34,10.62,17443
1.17,-0.53,10.86,17468
0.97,-1.07,10.59,17494
1.10,-0.23,10.97,17518
1.20,-0.51,10.99,17543
0.60,-0.72,11.33,17568
0.33,-1.10,10.49,17593
0.64,-0.63,8.99,17616
0.81,-1.08,8.72,17641
0.32,-0.63,8.36,17665
1.53,0.52,8.72,17688
-0.59,-1.60,8.74,17713
-0.46,0.91,9.05,17736
0.55,0.54,9.02,17760
0.39,0.19,9.22,17782
0.13,-0.77,9.06,17806
0.44,-0.76,9.52,17830
0.19,0.59,9.66,17853
0.14,-0.62,9.69,17876
-0.27,0.68,9.11,17901
-0.01,-1.31,9.40,17926
-0.23,-1.01,10.19,17952
0.20,0.15,10.24,17976
0.55,-1.08,10.25,18000
0.98,-0.50,11.21,18026
0.12,-0.91,12.04,18051
0.14,-1.74,12.00,18075
0.11,-1.18,12.05,18101
0.09,-1.10,11.77,18125
0.17,-0.13,11.39,18151
-0.02,-0.56,10.53,18177
0.28,-0.65,9.72,18200
0.24,-0.79,9.64,18225
0.20,-0.54,8.97,18248
0.18,-0.87,8.72,18272
0.18,-0.81,8.59,18296
-0.10,-0.24,8.57,18321
-0.11,-0.06,8.56,18345
-0.32,-0.27,9.19,18371
-0.06,-0.01,9.03,18396
-0.78,-1.11,8.81,18421
-0.87,-0.50,9.08,18446
-0.73,0.02,9.53,18469
-1.20,-0.44,9.29,18495
-1.24,-0.34,9.02,18520
-0.74,0.00,8.39,18543
-0.80,0.02,8.09,18568
-0.96,-0.37,8.83,18592
-0.81,-0.22,9.68,18618
-0.92,0.10,9.57,18641
-0.83,-0.45,9.71,18666
-1.31,-0.92,11.06,18693
-1.42,-0.81,11.37,18718
-1.43,-1.28,12.16,18744
-0.59,-1.59,12.27,18770
-0.84,-1.56,11.26,18796
-0.86,-1.56,10.85,18823
-0.52,-0.59,9.99,18847
-0.74,-0.45,9.93,18872
-0.65,-0.79,9.15,18897
-0.41,-0.64,8.90,18922
-0.63,-1.09,8.95,18947
-0.58,-0.54,9.26,18972
-0.72,-0.31,9.07,18997
-0.83,-1.26,8.66,19022
-0.75,-0.54,8.69,19047
-0.90,-0.39,8.96,19072
-0.98,-0.56,9.33,19097
-0.93,-0.22,9.16,19122
-1.09,-0.34,9.39,19146
-1.20,-0.53,9.70,19172
-1.10,-0.67,10.06,19197
-1.03,-0.48,10.07,19224
-1.05,-0.66,10.37,19250
-1.15,-0.76,10.68,19275
-1.25,-1.05,10.40,19302
-1.22,-0.57,9.71,19326
-1.10,-0.66,9.71,19352
-1.11,-0.23,9.47,19377
-1.13,-0.19,9.42,19401
-0.99,-0.21,9.45,19427
-0.93,-0.47,9.52,19451
-1.09,-0.28,9.19,19476
-1.18,-0.40,9.22,19502
-1.09,-0.45,9.11,19526
-1.12,-0.22,9.13,19552
-1.21,-0.60,9.11,19576
-1.48,-0.70,9.57,19601
-1.53,-0.70,9.59,19627
-1.32,-0.50,9.88,19651
-1.75,-0.78,10.06,19677
-1.74,-0.89,10.10,19703
-1.62,-0.66,10.09,19729
-1.82,-1.02,9.82,19755
-1.85,-0.83,9.85,19779
-2.01,-1.18,9.91,19804
-1.61,-1.10,9.79,19829
-1.65,-0.94,9.39,19854
-1.77,-1.19,9.65,19878
-1.88,-1.08,9.38,19904
-1.79,-0.81,9.42,19929
-1.63,-0.94,9.50,19954
-1.83,-0.81,9.32,19979
-1.72,-0.68,9.17,20003
-1.86,-0.91,9.47,20029
-1.56,-0.64,9.43,20054
-1.50,-0.46,9.50,20078
-1.57,-0.50,9.56,20104
-1.43,-0.62,9.63,20128
-1.27,-0.79,9.37,20154
-1.38,-0.91,9.84,20178
-1.25,-0.78,9.88,20203
-1.09,-1.04,10.16,20230
-0.90,-0.79,9.65,20254
-0.88,-1.07,9.96,20279
-0.90,-0.94,9.79,20304
-0.83,-0.93,9.73,20329
-0.89,-0.96,9.68,20355
-0.88,-0.93,9.77,20379
-0.99,-0.92,9.79,20404
-0.91,-0.73,9.78,20429
-0.79,-0.58,9.52,20454
-0.90,-0.82,9.74,20478
-0.95,-0.65,9.51,20504
-1.01,-0.82,9.86,20529
-0.84,-0.78,9.71,20554
-0.79,-0.77,9.65,20579
-1.04,-0.87,9.56,20603
-0.91,-0.66,9.80,20629
-0.96,-0.56,9.63,20654
-1.21,-0.80,9.52,20678
-1.14,-0.66,9.67,20704
-1.04,-0.72,9.84,20728
-1.21,-1.02,9.50,20754
-1.21,-0.86,9.66,20779
-1.16,-0.80,9.72,20803
-1.15,-0.75,9.58,20829
-1.17,-0.82,9.50,20853
-1.16,-0.78,9.55,20878
-1.18,-0.86,9.40,20903
-1.25,-0.94,9.60,20928
-1.16,-0.85,9.54,20954
-1.17,-0.74,9.67,20978
-1.23,-0.78,9.49,21003
-1.28,-0.91,9.79,21028
-1.22,-0.68,9.66,21053
-1.22,-0.64,9.63,21078
-1.29,-0.87,9.56,21103
-1.28,-0.82,9.68,21128
-1.25,-0.75,9.56,21153
-1.39,-0.98,9.74,21178
-1.27,-0.85,9.62,21202
-1.25,-0.88,9.80,21228
-1.34,-0.99,9.62,21253
-1.18,-0.93,9.70,21277
-1.14,-0.77,9.57,21303
-1.04,-0.79,9.48,21327
-1.05,-0.88,9.65,21353
-1.50,-0.83,9.69,21378
-1.61,-0.94,9.51,21402
-2.01,-0.97,9.59,21428
-1.97,-0.78,9.57,21452
-2.34,-0.72,9.45,21477
-2.47,-0.95,9.41,21502
-2.67,-0.78,9.24,21527
-2.79,-0.77,9.67,21553
-2.95,-0.77,9.43,21577
-3.12,-0.80,9.23,21602
-3.07,-0.63,9.27,21627
-3.10,-0.71,9.30,21652
-2.93,-0.77,9.40,21677
-2.86,-0.82,9.30,21702
-2.41,-0.65,9.47,21727
-2.25,-1.01,9.38,21752
-2.07,-0.78,10.00,21778
-2.09,-0.93,9.52,21803
-2.12,-0.58,9.49,21828
-2.38,-0.92,9.45,21853
-2.47,-0.91,9.56,21878
-2.54,-0.74,9.24,21903
-2.52,-0.69,9.51,21927
-2.70,-0.98,9.42,21953
-2.52,-0.88,9.64,21978
-2.38,-0.78,9.46,22002
-2.34,-0.85,9.59,22028
-2.39,-0.95,9.62,22052
-2.22,-0.66,9.51,22078
-2.32,-0.80,9.31,22103
-2.39,-0.87,9.46,22127
-2.36,-0.69,9.31,22153
-2.40,-0.64,9.41,22177
